2020-02-04 15:56:12 startup archives unpack
2020-02-04 15:56:12 install libexpat1:amd64 <none> 2.2.0-2+deb9u3
2020-02-04 15:56:12 status triggers-pending libc-bin:amd64 2.24-11+deb9u4
2020-02-04 15:56:12 status half-installed libexpat1:amd64 2.2.0-2+deb9u3
2020-02-04 15:56:12 status unpacked libexpat1:amd64 2.2.0-2+deb9u3
2020-02-04 15:56:12 status unpacked libexpat1:amd64 2.2.0-2+deb9u3
2020-02-04 15:56:12 install libpng16-16:amd64 <none> 1.6.28-1+deb9u1
2020-02-04 15:56:12 status half-installed libpng16-16:amd64 1.6.28-1+deb9u1
2020-02-04 15:56:12 status unpacked libpng16-16:amd64 1.6.28-1+deb9u1
2020-02-04 15:56:12 status unpacked libpng16-16:amd64 1.6.28-1+deb9u1
2020-02-04 15:56:12 install libfreetype6:amd64 <none> 2.6.3-3.2
2020-02-04 15:56:12 status half-installed libfreetype6:amd64 2.6.3-3.2
2020-02-04 15:56:13 status unpacked libfreetype6:amd64 2.6.3-3.2
2020-02-04 15:56:13 status unpacked libfreetype6:amd64 2.6.3-3.2
2020-02-04 15:56:13 install ucf:all <none> 3.0036
2020-02-04 15:56:13 status half-installed ucf:all 3.0036
2020-02-04 15:56:13 status unpacked ucf:all 3.0036
2020-02-04 15:56:13 status unpacked ucf:all 3.0036
2020-02-04 15:56:13 install fonts-dejavu-core:all <none> 2.37-1
2020-02-04 15:56:13 status half-installed fonts-dejavu-core:all 2.37-1
2020-02-04 15:56:13 status unpacked fonts-dejavu-core:all 2.37-1
2020-02-04 15:56:13 status unpacked fonts-dejavu-core:all 2.37-1
2020-02-04 15:56:13 install fontconfig-config:all <none> 2.11.0-6.7
2020-02-04 15:56:13 status half-installed fontconfig-config:all 2.11.0-6.7
2020-02-04 15:56:14 status unpacked fontconfig-config:all 2.11.0-6.7
2020-02-04 15:56:14 status unpacked fontconfig-config:all 2.11.0-6.7
2020-02-04 15:56:14 install libfontconfig1:amd64 <none> 2.11.0-6.7+b1
2020-02-04 15:56:14 status half-installed libfontconfig1:amd64 2.11.0-6.7+b1
2020-02-04 15:56:14 status unpacked libfontconfig1:amd64 2.11.0-6.7+b1
2020-02-04 15:56:14 status unpacked libfontconfig1:amd64 2.11.0-6.7+b1
2020-02-04 15:56:14 install fontconfig:amd64 <none> 2.11.0-6.7+b1
2020-02-04 15:56:14 status half-installed fontconfig:amd64 2.11.0-6.7+b1
2020-02-04 15:56:14 status unpacked fontconfig:amd64 2.11.0-6.7+b1
2020-02-04 15:56:14 status unpacked fontconfig:amd64 2.11.0-6.7+b1
2020-02-04 15:56:14 install libogg0:amd64 <none> 1.3.2-1
2020-02-04 15:56:14 status half-installed libogg0:amd64 1.3.2-1
2020-02-04 15:56:14 status unpacked libogg0:amd64 1.3.2-1
2020-02-04 15:56:14 status unpacked libogg0:amd64 1.3.2-1
2020-02-04 15:56:15 install libxau6:amd64 <none> 1:1.0.8-1
2020-02-04 15:56:15 status half-installed libxau6:amd64 1:1.0.8-1
2020-02-04 15:56:15 status unpacked libxau6:amd64 1:1.0.8-1
2020-02-04 15:56:15 status unpacked libxau6:amd64 1:1.0.8-1
2020-02-04 15:56:15 install libassuan0:amd64 <none> 2.4.3-2
2020-02-04 15:56:15 status half-installed libassuan0:amd64 2.4.3-2
2020-02-04 15:56:15 status unpacked libassuan0:amd64 2.4.3-2
2020-02-04 15:56:15 status unpacked libassuan0:amd64 2.4.3-2
2020-02-04 15:56:15 install pinentry-curses:amd64 <none> 1.0.0-2
2020-02-04 15:56:15 status half-installed pinentry-curses:amd64 1.0.0-2
2020-02-04 15:56:15 status unpacked pinentry-curses:amd64 1.0.0-2
2020-02-04 15:56:15 status unpacked pinentry-curses:amd64 1.0.0-2
2020-02-04 15:56:15 install libnpth0:amd64 <none> 1.3-1
2020-02-04 15:56:15 status half-installed libnpth0:amd64 1.3-1
2020-02-04 15:56:15 status unpacked libnpth0:amd64 1.3-1
2020-02-04 15:56:15 status unpacked libnpth0:amd64 1.3-1
2020-02-04 15:56:15 install readline-common:all <none> 7.0-3
2020-02-04 15:56:15 status half-installed readline-common:all 7.0-3
2020-02-04 15:56:15 status unpacked readline-common:all 7.0-3
2020-02-04 15:56:15 status unpacked readline-common:all 7.0-3
2020-02-04 15:56:15 install libreadline7:amd64 <none> 7.0-3
2020-02-04 15:56:15 status half-installed libreadline7:amd64 7.0-3
2020-02-04 15:56:15 status unpacked libreadline7:amd64 7.0-3
2020-02-04 15:56:15 status unpacked libreadline7:amd64 7.0-3
2020-02-04 15:56:15 install gnupg-agent:amd64 <none> 2.1.18-8~deb9u4
2020-02-04 15:56:15 status half-installed gnupg-agent:amd64 2.1.18-8~deb9u4
2020-02-04 15:56:16 status unpacked gnupg-agent:amd64 2.1.18-8~deb9u4
2020-02-04 15:56:16 status unpacked gnupg-agent:amd64 2.1.18-8~deb9u4
2020-02-04 15:56:16 install libksba8:amd64 <none> 1.3.5-2
2020-02-04 15:56:16 status half-installed libksba8:amd64 1.3.5-2
2020-02-04 15:56:16 status unpacked libksba8:amd64 1.3.5-2
2020-02-04 15:56:16 status unpacked libksba8:amd64 1.3.5-2
2020-02-04 15:56:16 install libsqlite3-0:amd64 <none> 3.16.2-5+deb9u1
2020-02-04 15:56:16 status half-installed libsqlite3-0:amd64 3.16.2-5+deb9u1
2020-02-04 15:56:16 status unpacked libsqlite3-0:amd64 3.16.2-5+deb9u1
2020-02-04 15:56:16 status unpacked libsqlite3-0:amd64 3.16.2-5+deb9u1
2020-02-04 15:56:16 install gnupg:amd64 <none> 2.1.18-8~deb9u4
2020-02-04 15:56:16 status half-installed gnupg:amd64 2.1.18-8~deb9u4
2020-02-04 15:56:17 status unpacked gnupg:amd64 2.1.18-8~deb9u4
2020-02-04 15:56:17 status unpacked gnupg:amd64 2.1.18-8~deb9u4
2020-02-04 15:56:17 install libssl1.0.2:amd64 <none> 1.0.2u-1~deb9u1
2020-02-04 15:56:17 status half-installed libssl1.0.2:amd64 1.0.2u-1~deb9u1
2020-02-04 15:56:17 status unpacked libssl1.0.2:amd64 1.0.2u-1~deb9u1
2020-02-04 15:56:17 status unpacked libssl1.0.2:amd64 1.0.2u-1~deb9u1
2020-02-04 15:56:17 install libssl1.1:amd64 <none> 1.1.0l-1~deb9u1
2020-02-04 15:56:17 status half-installed libssl1.1:amd64 1.1.0l-1~deb9u1
2020-02-04 15:56:18 status unpacked libssl1.1:amd64 1.1.0l-1~deb9u1
2020-02-04 15:56:18 status unpacked libssl1.1:amd64 1.1.0l-1~deb9u1
2020-02-04 15:56:18 install libgmp10:amd64 <none> 2:6.1.2+dfsg-1
2020-02-04 15:56:18 status half-installed libgmp10:amd64 2:6.1.2+dfsg-1
2020-02-04 15:56:18 status unpacked libgmp10:amd64 2:6.1.2+dfsg-1
2020-02-04 15:56:18 status unpacked libgmp10:amd64 2:6.1.2+dfsg-1
2020-02-04 15:56:18 install libhogweed4:amd64 <none> 3.3-1+b2
2020-02-04 15:56:18 status half-installed libhogweed4:amd64 3.3-1+b2
2020-02-04 15:56:18 status unpacked libhogweed4:amd64 3.3-1+b2
2020-02-04 15:56:18 status unpacked libhogweed4:amd64 3.3-1+b2
2020-02-04 15:56:18 install libffi6:amd64 <none> 3.2.1-6
2020-02-04 15:56:18 status half-installed libffi6:amd64 3.2.1-6
2020-02-04 15:56:19 status unpacked libffi6:amd64 3.2.1-6
2020-02-04 15:56:19 status unpacked libffi6:amd64 3.2.1-6
2020-02-04 15:56:19 install libp11-kit0:amd64 <none> 0.23.3-2
2020-02-04 15:56:19 status half-installed libp11-kit0:amd64 0.23.3-2
2020-02-04 15:56:19 status unpacked libp11-kit0:amd64 0.23.3-2
2020-02-04 15:56:19 status unpacked libp11-kit0:amd64 0.23.3-2
2020-02-04 15:56:19 install libtasn1-6:amd64 <none> 4.10-1.1+deb9u1
2020-02-04 15:56:19 status half-installed libtasn1-6:amd64 4.10-1.1+deb9u1
2020-02-04 15:56:19 status unpacked libtasn1-6:amd64 4.10-1.1+deb9u1
